Base Image,Command,Intermediate Dockerfile Command,Dockerfile URL
node:lts as base,npm i -g pnpm,WORKDIR /usr/src/app,https://github.com/TungLe0319/DontTrustSkinnyCooks/blob/47cd826b88f3d5529e90e024d8723be159ccbfcd/dockerfile
node:lts as base,mkdir -p /temp/dev,WORKDIR /usr/src/app,https://github.com/TungLe0319/DontTrustSkinnyCooks/blob/47cd826b88f3d5529e90e024d8723be159ccbfcd/dockerfile
node:lts as base,cd /temp/dev && pnpm install,WORKDIR /usr/src/app,https://github.com/TungLe0319/DontTrustSkinnyCooks/blob/47cd826b88f3d5529e90e024d8723be159ccbfcd/dockerfile
node:lts as base,pnpm run generate:prisma,WORKDIR /usr/src/app,https://github.com/TungLe0319/DontTrustSkinnyCooks/blob/47cd826b88f3d5529e90e024d8723be159ccbfcd/dockerfile
node:lts as base,pnpm run build,WORKDIR /usr/src/app,https://github.com/TungLe0319/DontTrustSkinnyCooks/blob/47cd826b88f3d5529e90e024d8723be159ccbfcd/dockerfile
node:lts as build,yarn install,"WORKDIR /app
COPY package.json ./
COPY yarn.lock ./",https://github.com/vhs/SpaceBus/blob/29cd56b417863f29f7ccbf0d8ec39cee2fabf0ae/Dockerfile
node:lts as build,yarn build,"WORKDIR /app
COPY package.json ./
COPY yarn.lock ./",https://github.com/vhs/SpaceBus/blob/29cd56b417863f29f7ccbf0d8ec39cee2fabf0ae/Dockerfile
node:lts-slim as run,rm -rf node_modules,"WORKDIR /app
COPY package*.json ./",https://github.com/Whynot830/whynotpc-svelte/blob/1f35adb8229fabba8822a4f26446d9556a85bd4d/dockerfile
node:lts-slim as run,rm -rf build,"WORKDIR /app
COPY package*.json ./",https://github.com/Whynot830/whynotpc-svelte/blob/1f35adb8229fabba8822a4f26446d9556a85bd4d/dockerfile
node:lts-slim as run,npm install,"WORKDIR /app
COPY package*.json ./",https://github.com/Whynot830/whynotpc-svelte/blob/1f35adb8229fabba8822a4f26446d9556a85bd4d/dockerfile
node:lts-slim as run,npm run build,"WORKDIR /app
COPY package*.json ./",https://github.com/Whynot830/whynotpc-svelte/blob/1f35adb8229fabba8822a4f26446d9556a85bd4d/dockerfile
node:lts-slim as run,npm install --production,"WORKDIR /app
COPY package*.json ./",https://github.com/Whynot830/whynotpc-svelte/blob/1f35adb8229fabba8822a4f26446d9556a85bd4d/dockerfile
node:lts as base,npm install,"WORKDIR /home/node/app
COPY --chown=node:node ./mydocs/ /home/node/app/
WORKDIR /home/node/app",https://github.com/cedlerouge/mydocs/blob/28231331341af866772d0f3ebd15bf542ac708b4/Dockerfile
node:lts as base,npm run build,"WORKDIR /home/node/app
COPY --chown=node:node ./mydocs/ /home/node/app/
WORKDIR /home/node/app",https://github.com/cedlerouge/mydocs/blob/28231331341af866772d0f3ebd15bf542ac708b4/Dockerfile
node:lts,npm cache clean --force,"WORKDIR /app
COPY package.json ./",https://github.com/jarierca/GameVaultFront/blob/6e83b48bb549fb79d4d1d009f037d6e02b40e547/dockerfile
node:lts,npm install,"WORKDIR /app
COPY package.json ./",https://github.com/jarierca/GameVaultFront/blob/6e83b48bb549fb79d4d1d009f037d6e02b40e547/dockerfile
node:lts,yarn install && yarn build,"COPY    nextjs  /develop-story/nextjs/
WORKDIR /develop-story/nextjs/",https://github.com/SimDaeSoo/develop-story/blob/fe4a74af41d643d553845f8ba673211fc5ebddff/dockerfile
node:lts,yarn install && yarn build,"COPY    nextjs  /develop-story/nextjs/
WORKDIR /develop-story/nextjs/",https://github.com/SimDaeSoo/develop-story/blob/fe4a74af41d643d553845f8ba673211fc5ebddff/dockerfile
node:lts,apt-get update && apt-get install -y supervisor && apt-get install -y nginx,"COPY    nextjs  /develop-story/nextjs/
WORKDIR /develop-story/nextjs/",https://github.com/SimDaeSoo/develop-story/blob/fe4a74af41d643d553845f8ba673211fc5ebddff/dockerfile
node:lts,chmod +x /develop-story/*.sh,"COPY    nextjs  /develop-story/nextjs/
WORKDIR /develop-story/nextjs/",https://github.com/SimDaeSoo/develop-story/blob/fe4a74af41d643d553845f8ba673211fc5ebddff/dockerfile
node:lts AS runtime,yarn install --frozen-lockfile,"WORKDIR /app
COPY package.json yarn.lock ./",https://github.com/gojnimer-wedding/invitation-frontend/blob/eb9bc4fdf1279e4d8b8e14ad274ec367a660d046/Dockerfile
node:lts AS runtime,"if [ ! -f "".env"" ]; then file=$(find . -name "".env*"" | head -n 1); if [ -n ""$file"" ]; then mv ""$file"" .env; fi ;fi","WORKDIR /app
COPY package.json yarn.lock ./",https://github.com/gojnimer-wedding/invitation-frontend/blob/eb9bc4fdf1279e4d8b8e14ad274ec367a660d046/Dockerfile
node:lts AS runtime,yarn build,"WORKDIR /app
COPY package.json yarn.lock ./",https://github.com/gojnimer-wedding/invitation-frontend/blob/eb9bc4fdf1279e4d8b8e14ad274ec367a660d046/Dockerfile
node:lts AS build,npm i,"WORKDIR /app
COPY . .",https://github.com/martibobby/bobbymartin.dev/blob/5c95342c8f68db95fa7646c5817898b256f322c3/Dockerfile
node:lts AS build,npm run build,"WORKDIR /app
COPY . .",https://github.com/martibobby/bobbymartin.dev/blob/5c95342c8f68db95fa7646c5817898b256f322c3/Dockerfile
node:lts-slim as node,"echo ""@fortawesome:registry=https://npm.fontawesome.com/\\n//npm.fontawesome.com/:_authToken=${FONTAWESOME_TOKEN}"" > ./.npmrc && npm ci && rm -f ./.npmrc","WORKDIR /build
COPY package*.json ./",https://github.com/SwiftFiddle/swiftregex/blob/4e2bdd7df721d52a129af5e5b257d725a689c2ff/Dockerfile
node:lts-slim as node,npx webpack --config webpack.prod.js,"WORKDIR /build
COPY package*.json ./",https://github.com/SwiftFiddle/swiftregex/blob/4e2bdd7df721d52a129af5e5b257d725a689c2ff/Dockerfile
node:lts-slim as node,export DEBIAN_FRONTEND=noninteractive DEBCONF_NONINTERACTIVE_SEEN=true && apt-get -q update && apt-get -q dist-upgrade -y && apt-get install -y --no-install-recommends libsqlite3-dev && rm -rf /var/lib/apt/lists/*,"WORKDIR /build
COPY package*.json ./",https://github.com/SwiftFiddle/swiftregex/blob/4e2bdd7df721d52a129af5e5b257d725a689c2ff/Dockerfile
node:lts-slim as node,swift package resolve,"WORKDIR /build
COPY package*.json ./",https://github.com/SwiftFiddle/swiftregex/blob/4e2bdd7df721d52a129af5e5b257d725a689c2ff/Dockerfile
node:lts-slim as node,swift build -c release --static-swift-stdlib -Xswiftc -enable-testing,"WORKDIR /build
COPY package*.json ./",https://github.com/SwiftFiddle/swiftregex/blob/4e2bdd7df721d52a129af5e5b257d725a689c2ff/Dockerfile
node:lts-slim as node,"cp ""$(swift build --package-path /build -c release --show-bin-path)/App"" ./","WORKDIR /build
COPY package*.json ./",https://github.com/SwiftFiddle/swiftregex/blob/4e2bdd7df721d52a129af5e5b257d725a689c2ff/Dockerfile
node:lts-slim as node,"find -L ""$(swift build --package-path /build -c release --show-bin-path)/"" -regex '.*\\.resources$' -exec cp -Ra {} ./ \\;","WORKDIR /build
COPY package*.json ./",https://github.com/SwiftFiddle/swiftregex/blob/4e2bdd7df721d52a129af5e5b257d725a689c2ff/Dockerfile
node:lts-slim as node,[ -d /build/Public ] && { mv /build/Public ./Public && chmod -R a-w ./Public; } || true,"WORKDIR /build
COPY package*.json ./",https://github.com/SwiftFiddle/swiftregex/blob/4e2bdd7df721d52a129af5e5b257d725a689c2ff/Dockerfile
node:lts-slim as node,[ -d /build/Resources ] && { mv /build/Resources ./Resources && chmod -R a-w ./Resources; } || true,"WORKDIR /build
COPY package*.json ./",https://github.com/SwiftFiddle/swiftregex/blob/4e2bdd7df721d52a129af5e5b257d725a689c2ff/Dockerfile
node:lts-slim as node,[ -d /build/.build ] && { mv /build/.build ./.build && chmod -R a-w ./.build; } || true,"WORKDIR /build
COPY package*.json ./",https://github.com/SwiftFiddle/swiftregex/blob/4e2bdd7df721d52a129af5e5b257d725a689c2ff/Dockerfile
node:lts-slim as node,export DEBIAN_FRONTEND=noninteractive DEBCONF_NONINTERACTIVE_SEEN=true && apt-get -q update && apt-get -q dist-upgrade -y && apt-get -q install -y ca-certificates tzdata && rm -r /var/lib/apt/lists/*,"WORKDIR /build
COPY package*.json ./",https://github.com/SwiftFiddle/swiftregex/blob/4e2bdd7df721d52a129af5e5b257d725a689c2ff/Dockerfile
node:lts-slim as node,useradd --user-group --create-home --system --skel /dev/null --home-dir /app vapor,"WORKDIR /build
COPY package*.json ./",https://github.com/SwiftFiddle/swiftregex/blob/4e2bdd7df721d52a129af5e5b257d725a689c2ff/Dockerfile
