Base Image,Command,Intermediate Dockerfile Command,Dockerfile URL,Converted Repotag,Step1 convert,Step2 optimizer on,Step3 pull,Step4 create,Step5 start,Step6 remove,Step7 optimizer off,Step8 report
node:lts,npm i -g @ionic/cli@${IONIC_CLI_VERSION} && ionic --no-interactive config set -g daemon.updates false && ionic --no-interactive config set -g telemetry false,,https://github.com/ionic-team/ionic-cli/blob/fbeac60cdde6f6504900e9c403fa4e79528ca067/Dockerfile,cloud.cluster.local:5000/node-lts:lts-starlight-ionic-team-ionic-cli,skipped,skipped,skipped,timeout,,success,success,success
node:lts-bullseye-slim,apt-get update && apt-get install -y --no-install-recommends fonts-liberation libasound2 libatk-bridge2.0-0 libatk1.0-0 libatspi2.0-0 libc6 libcairo2 libcups2 libdbus-1-3 libfreetype6 libgbm1 libharfbuzz0b libnss3 libpango-1.0-0 libx11-6 libxext6 libxkbcommon0 x11-utils xdg-utils zlib1g && rm -rf /var/lib/apt/lists/*,,https://github.com/macbre/phantomas/blob/6b9c6c38fc0696863fa720d06e408ee677fad98b/Dockerfile,cloud.cluster.local:5000/node-lts-bullseye-slim:lts-bullseye-slim-starlight-macbre-phantomas,skipped,skipped,skipped,non-zero exit(100),,success,success,success
node:lts,npm install,,https://github.com/sullyo/prompt2ui/blob/333875ebfc68212e9d55d9ac430c8254dc75b5fd/dockerfile,cloud.cluster.local:5000/node-lts:lts-starlight-sullyo-prompt2ui,skipped,skipped,skipped,non-zero exit(1),,success,success,success
node:lts-buster,git clone https://github.com/AbhishekSuresh2/X-AsenaDuplicated/ /root/X,,https://github.com/Sachu-fx/Siya-Mol-MD/blob/1dc2d223b7a1efda98040aa571453e9d84749d92/lib/Dockerfile.txt,cloud.cluster.local:5000/node-lts-buster:lts-buster-starlight-Sachu-fx-Siya-Mol-MD,skipped,skipped,skipped,non-zero exit(128),,success,success,success
node:lts,npm ci,,https://github.com/PedroH-Santos/api-gerenciador-financeiro/blob/2fd6e4819ed64f8a7548490f39b13d11c794b701/DockerFile,cloud.cluster.local:5000/node-lts:lts-starlight-PedroH-Santos-api-gerenciador-financeiro,skipped,skipped,skipped,non-zero exit(1),,success,success,success
node:lts-slim,"echo ""@fortawesome:registry=https://npm.fontawesome.com/\\n//npm.fontawesome.com/:_authToken=${FONTAWESOME_TOKEN}"" > ./.npmrc && npm ci && rm -f ./.npmrc",,https://github.com/SwiftFiddle/swiftregex/blob/44fff07c4e32c2a37ae5396ee421cf2b4315491c/Dockerfile,cloud.cluster.local:5000/node-lts-slim:lts-slim-starlight-SwiftFiddle-swiftregex,skipped,skipped,skipped,non-zero exit(1),,success,success,success
node:lts,mkdir -p /home/node-serve,,https://github.com/Yang1998-jiale/node-sever/blob/1b7f91888875bc6f0eedf0f8b59bb59e11a42a39/dockerfile,cloud.cluster.local:5000/node-lts:lts-starlight-Yang1998-jiale-node-sever,skipped,skipped,skipped,success,success,success,success,success
node:lts,npm install,,https://github.com/aldy97/Budget-Planner/blob/b498445e46867fe6fe92ea29ffa369c4bf2d84e5/server/DockerFile,cloud.cluster.local:5000/node-lts:lts-starlight-aldy97-Budget-Planner,skipped,skipped,skipped,non-zero exit(1),,success,success,success
node:lts-iron,npm install,,https://github.com/sgautam2-1/Assignment12/blob/e92f8d7f501cd0907ac86400c8b9933a235f5199/Dockerfile.org,cloud.cluster.local:5000/node-lts-iron:lts-iron-starlight-sgautam2-1-Assignment12,skipped,skipped,skipped,non-zero exit(1),,success,success,success
node:lts,yarn install,,https://github.com/equinor/flowify-workflows-UI/blob/e608877ad561fc63b995bbf8b688a78c5b47799a/Dockerfile,cloud.cluster.local:5000/node-lts:lts-starlight-equinor-flowify-workflows-UI,skipped,skipped,skipped,success,success,success,success,success
ubuntu:22.04,"set -ex && apt-get update --fix-missing && apt-get install -qy --no-install-recommends ca-certificates tzdata locales procps net-tools file ocl-icd-libopencl1 clinfo && apt-get clean && rm -rf /var/lib/apt/lists/* && locale-gen en_US.UTF-8 && update-locale LANG=en_US.UTF-8 && echo ""$TZ"" > /etc/timezone",,https://github.com/spacemeshos/go-spacemesh/blob/bad13bc62bd9e2b81d51b746be5128dd9eddaea8/Dockerfile,cloud.cluster.local:5000/ubuntu-22.04:22.04-starlight-spacemeshos-go-spacemesh,skipped,skipped,skipped,non-zero exit(100),,success,success,success
ubuntu:22.04,apt-get update && apt-get install -y tar wget bash rsync gcc libfreetype6-dev libhdf5-serial-dev libpng-dev libzmq3-dev unzip pkg-config software-properties-common graphviz git curl libgeos++-dev proj-data proj-bin libgeos-dev nodejs npm build-essential gcc python3-dev libffi-dev libssl-dev python3-pip openssh-server openssh-client tk -y,,https://github.com/Chrisebell24/setup/blob/2ee5c31fa4cf1c58e60021ec56f59d5e54a40d98/DockerFile,cloud.cluster.local:5000/ubuntu-22.04:22.04-starlight-Chrisebell24-setup,skipped,skipped,skipped,non-zero exit(100),,success,success,success
ubuntu:22.04,apt-get update && apt-get install -y curl sudo ca-certificates,,https://github.com/Domali4ever/Domali_Mt/blob/56775a2b7eaf33790bbbe1ce435223164e8584e0/Dockerfile.txt,cloud.cluster.local:5000/ubuntu-22.04:22.04-starlight-Domali4ever-Domali_Mt,skipped,skipped,skipped,non-zero exit(100),,success,success,success
ubuntu:22.04,apt-get update && apt-get --no-install-recommends install -y build-essential ca-certificates curl git,,https://github.com/DataDog/datadog-static-analyzer/blob/91e06ce19bdabfe1c24764aa99cd2164441bdcaf/Dockerfile,cloud.cluster.local:5000/ubuntu-22.04:22.04-starlight-DataDog-datadog-static-analyzer,skipped,skipped,skipped,non-zero exit(100),,success,success,success
ubuntu:22.04,apt-get update && apt-get install -y --no-install-recommends software-properties-common gnupg wget lsb-release ca-certificates git build-essential autotools-dev automake libtool libtiff-dev zlib1g-dev libjpeg-dev libpng-dev libleptonica-dev libjbig2dec0-dev && rm -rf /var/lib/apt/lists/*,,https://github.com/Artyum/OCR-Container/blob/65251dd82d026998320fec135154132374f6ea1d/dockerfile,cloud.cluster.local:5000/ubuntu-22.04:22.04-starlight-Artyum-OCR-Container,skipped,skipped,skipped,non-zero exit(100),,success,success,success
ubuntu:22.04,apt update,,https://github.com/ubongpr7/vlc_maker/blob/310ab7173ea59afd50283629e1248bb548b14571/Dockerfile2.txt,cloud.cluster.local:5000/ubuntu-22.04:22.04-starlight-ubongpr7-vlc_maker,skipped,skipped,skipped,non-zero exit(100),,success,success,success
ubuntu:22.04,apt update && apt install -y build-essential && apt install -y libnet-ldap-perl && apt install -y libpcre2-dev && apt install -y libc-ares-dev && apt install -y checkinstall && ./configure && make && checkinstall --install=no --default --pkgname=tac-plus-ng --pkgversion=1 && cp tac-plus-ng_*.deb /tac-plus-ng.deb,,https://github.com/DubrovskyEI/tac_plus-ng-k8s/blob/43c82fa11e51561643fd7bd4ed40dbbb7497a87a/Dockerfile.md,cloud.cluster.local:5000/ubuntu-22.04:22.04-starlight-DubrovskyEI-tac_plus-ng-k8s,skipped,skipped,skipped,non-zero exit(100),,success,success,success
ubuntu:22.04,apt-get -y update && apt-get install -y curl && dpkg -i Valkka.deb || apt-get install -fy,,https://github.com/elsampsa/valkka-core/blob/4ac8d839d2a61865316b323b0435e066dcbb7bea/Dockerfile,cloud.cluster.local:5000/ubuntu-22.04:22.04-starlight-elsampsa-valkka-core,skipped,skipped,skipped,non-zero exit(100),,success,success,success
ubuntu:22.04,apt-get update,,https://github.com/Jocuz/docker_practica/blob/5ec7e30ffe22b318bd95a9d377182370cc4a1695/Dockerfile.txt,cloud.cluster.local:5000/ubuntu-22.04:22.04-starlight-Jocuz-docker_practica,skipped,skipped,skipped,success,success,success,success,success
