Base Image,Command,Intermediate Dockerfile Command,Dockerfile URL,Converted Repotag,Step1 convert,Step2 optimizer on,Step3 pull,Step4 create,Step5 start,Step6 remove,Step7 optimizer off,Step8 report
node:lts,npm i -g @ionic/cli@${IONIC_CLI_VERSION} && ionic --no-interactive config set -g daemon.updates false && ionic --no-interactive config set -g telemetry false,,https://github.com/ionic-team/ionic-cli/blob/fbeac60cdde6f6504900e9c403fa4e79528ca067/Dockerfile,cloud.cluster.local:5000/node-lts/ionic-team-ionic-cli:starlight,skipped,skipped,skipped,failure,,,,
node:lts-bullseye-slim,apt-get update && apt-get install -y --no-install-recommends fonts-liberation libasound2 libatk-bridge2.0-0 libatk1.0-0 libatspi2.0-0 libc6 libcairo2 libcups2 libdbus-1-3 libfreetype6 libgbm1 libharfbuzz0b libnss3 libpango-1.0-0 libx11-6 libxext6 libxkbcommon0 x11-utils xdg-utils zlib1g && rm -rf /var/lib/apt/lists/*,,https://github.com/macbre/phantomas/blob/6b9c6c38fc0696863fa720d06e408ee677fad98b/Dockerfile,cloud.cluster.local:5000/node-lts-bullseye-slim/macbre-phantomas:starlight,skipped,skipped,skipped,failure,,,,
node:lts,npm install,,https://github.com/sullyo/prompt2ui/blob/333875ebfc68212e9d55d9ac430c8254dc75b5fd/dockerfile,cloud.cluster.local:5000/node-lts/sullyo-prompt2ui:starlight,skipped,skipped,skipped,failure,,,,
