Base Image,Command,Intermediate Dockerfile Command,Dockerfile URL
node:lts-bookworm-slim,apt-get update && apt-get install -y --no-install-recommends curl git vim zip unzip tree tmux openssh-client iproute2 dnsutils iputils-ping ncat netcat-openbsd procps bc certbot && rm -fr /var/lib/apt/lists/*,WORKDIR /root,https://github.com/jobscale/certbot/blob/b31d35f01f2459a5c0915563518db01c3a233c7d/Dockerfile
node:lts,mkdir /app,,https://github.com/csprance/next-smrt/blob/9bd5cc2cad5f96d42867c7931b85446695f46979/Dockerfile
node:lts-buster,apt-get update -y && apt-get install -y ffmpeg imagemagick webp && apt-get upgrade -y && rm -rf /var/lib/apt/lists/*,,https://github.com/PerwiraKusuma111/hiso/blob/d43d64f36d574d080116ca52fcbb016a0b132fa4/Dockerfile
node:lts-buster,apt-get update && apt-get install -y ffmpeg imagemagick webp && apt-get upgrade -y && npm i pm2 -g && rm -rf /var/lib/apt/lists/*,,https://github.com/China-bellabe/Shadow-Md/blob/febab3f46dfa29e424eac1d9326385e1b874cb0d/Dockerfile
node:lts-hydrogen,npm ci --omit=dev && npm cache clean --force,"WORKDIR /app
COPY package.json package-lock.json ./",https://github.com/thiagodeev/stellar-learning/blob/561230c6bac28da44169597f219931e1c409ab2b/Dockerfile
node:lts,apt-get update && apt-get -y install --no-install-recommends apt-utils 2>&1,,https://github.com/blastmotion/docker-tools-devops/blob/f1d926c263cff0d9fe2ebad9ee900ae38b134349/Dockerfile
node:lts,npm install -g @angular/cli,WORKDIR /app,https://github.com/michaelc143/personal-angular-site/blob/9f5d316e3370100137c7ebd2235e17c43faa709c/Dockerfile
node:lts-buster,apt-get update && apt-get install -y ffmpeg imagemagick webp && apt-get upgrade -y && rm -rf /var/lib/apt/lists/*,,https://github.com/BOTCAHX/Recode-Hyzer-Md/blob/f245984eb387be7f7eed093755fb85e1938405f6/Dockerfile
node:lts,npm install --production,"WORKDIR /app
COPY ./package.json /app",https://github.com/Helio609/chatgpt-api-nest/blob/58b80061879cdafacda9b52866dcf70727c40c0c/Dockerfile
node:lts-slim as build,npm ci,"WORKDIR /app
COPY ./package.json ./package-lock.json ./",https://github.com/RealOrangeOne/web-rng/blob/72aa499f7d27ab83acc75c36e39ca79c0d1af9be/Dockerfile
node:lts as base,npm install,"WORKDIR /home/node/app
COPY --chown=node:node . /home/node/app/
WORKDIR /home/node/app",https://github.com/ZennoLab/capmonstercloud-docs/blob/08085cbc92bcf6bc4b58893965714716b3d83c66/Dockerfile
node:lts,mkdir app,,https://github.com/delbaze/demo_ci_back/blob/c689c7af3ad5c19f7961713d28ef8c0660a4a786/Dockerfile
node:lts,npm install,"WORKDIR /app
COPY package*.json ./",https://github.com/atsarouchas/Movie-List/blob/0d2524e0e186c3b550a6ccb28c5ea1f3531f597c/Dockerfile
node:lts-buster,apt-get update && apt-get install -y ffmpeg imagemagick webp && apt-get upgrade -y && rm -rf /var/lib/apt/lists/*,,https://github.com/DGDEEPAK/Zenitsu-Bot2/blob/fd5d798b27f0b546c78345ba052645ac740001d5/Dockerfile
